player_id,name,country,registration_date,age,Total_Bets,Total_Stake,Average_Bet,Total_Payout,Win_Rate,Deposit,Withdrawal,Active_Days,Net_Revenue,Cluster,Segment
1,Ian Scott,Guinea,2025-11-05,47,48,5191.91,108.16479166666666,10025.13,0.625,1162.92,2079.92,48,4833.219999999999,1,VIP Players
2,Shannon Johnson,Yemen,2024-11-25,32,47,4739.94,100.84978723404257,5631.68,0.4680851063829787,1476.85,1651.55,47,891.7400000000007,0,Casual Players
3,Barbara Reid,Namibia,2023-09-11,46,53,4913.17,92.701320754717,5614.13,0.3962264150943396,3000.58,1695.44,53,700.96,2,Regular Players
4,Penny Shields,Guyana,2023-08-09,61,49,3791.6,77.37959183673469,4860.98,0.4285714285714285,4868.61,1733.49,49,1069.3799999999997,0,Casual Players
5,Nicole Grimes,Guinea,2024-01-11,58,49,5290.83,107.9761224489796,10379.15,0.5306122448979592,3671.58,2055.33,49,5088.32,1,VIP Players
6,Angela Williams,Peru,2023-10-24,61,59,6555.94,111.11762711864408,11107.8,0.576271186440678,2480.04,2345.78,59,4551.86,3,Dormant Players
7,Amber Juarez,Oman,2024-12-23,22,69,6559.17,95.0604347826087,13146.24,0.6231884057971014,2606.6,3466.2200000000003,69,6587.07,3,Dormant Players
8,Mary Deleon,Colombia,2026-05-07,30,51,5267.41,103.28254901960784,8448.27,0.5882352941176471,2723.49,1589.86,51,3180.8600000000006,1,VIP Players
9,Crystal Mclaughlin,Georgia,2024-12-05,59,53,5857.79,110.5243396226415,8830.22,0.490566037735849,1428.0,4654.64,53,2972.4299999999994,3,Dormant Players
10,Albert Edwards,Senegal,2023-11-17,34,50,5346.46,106.9292,7018.77,0.48,1509.2700000000002,1323.96,50,1672.3100000000004,2,Regular Players
11,Julia Blankenship,Gambia,2024-01-25,27,54,5076.6,94.01111111111112,7540.12,0.5185185185185185,2005.55,2230.63,54,2463.5199999999995,2,Regular Players
12,Diane Vargas,Montserrat,2025-12-06,42,48,5043.66,105.07625,6155.4,0.4166666666666667,1760.97,4795.74,48,1111.7399999999998,2,Regular Players
13,Amy Cooper,Colombia,2025-01-05,64,63,5959.77,94.59952380952382,9539.78,0.5555555555555556,3467.52,2553.38,63,3580.01,3,Dormant Players
14,Kim Hunt,Estonia,2024-07-25,19,48,4990.46,103.96791666666668,7958.69,0.5625,3407.77,5451.43,48,2968.2300000000005,1,VIP Players
15,Michael Manning,Romania,2025-10-09,33,59,6880.24,116.61423728813558,10477.2,0.5084745762711864,4092.39,4039.82,59,3596.960000000001,3,Dormant Players
16,Brandy Lucas,Saint Pierre and Miquelon,2024-12-02,58,44,4336.92,98.56636363636365,7026.49,0.5,3632.89,4545.04,44,2689.5699999999997,0,Casual Players
17,Jamie Kelly,Jordan,2024-09-09,22,53,4781.78,90.2222641509434,8516.03,0.5849056603773585,3065.6800000000003,3068.63,53,3734.250000000001,1,VIP Players
18,Ms. Beverly Bryant MD,Finland,2024-09-24,40,48,4866.75,101.390625,7763.03,0.5,2713.26,3794.3,48,2896.2799999999997,1,VIP Players
19,Madison Martin,Western Sahara,2024-06-22,55,57,6248.05,109.61491228070176,9120.6,0.5263157894736842,3662.75,2318.94,57,2872.55,3,Dormant Players
20,Ashley Mason,Grenada,2024-03-18,27,52,4819.3,92.67884615384617,10663.69,0.6153846153846154,3521.99,3057.11,52,5844.39,1,VIP Players
21,Calvin Miller,Timor-Leste,2024-06-20,54,48,4089.25,85.19270833333333,5258.4,0.375,5672.65,1712.6,48,1169.1499999999996,0,Casual Players
22,Hayley Allen,Chile,2025-05-05,37,56,5364.9,95.80178571428571,8088.11,0.5357142857142857,1093.64,923.23,56,2723.21,2,Regular Players
23,Edward Gutierrez,Slovakia (Slovak Republic),2023-09-12,64,50,4833.87,96.6774,7913.97,0.52,3015.33,343.26,50,3080.1000000000004,1,VIP Players
24,James Curry,Djibouti,2024-04-16,47,54,5340.35,98.89537037037036,9164.27,0.5740740740740741,3391.34,2771.48,54,3823.92,3,Dormant Players
25,Scott Bradley,Peru,2023-11-19,48,46,4741.88,103.08434782608695,9390.24,0.5434782608695652,3047.63,1277.75,46,4648.36,1,VIP Players
26,Ashley Martinez,Nepal,2026-07-10,51,59,6186.67,104.85881355932204,8166.03,0.4576271186440678,4028.82,2710.5699999999997,59,1979.3599999999997,2,Regular Players
27,James Garcia,Senegal,2024-05-08,65,47,5057.46,107.60553191489362,5435.03,0.3617021276595745,547.39,1597.87,47,377.5699999999997,2,Regular Players
28,Grace Steele DDS,Brunei Darussalam,2024-11-08,28,48,4852.2300000000005,101.088125,8433.06,0.5625,1559.96,1286.61,48,3580.829999999999,1,VIP Players
29,Michelle Wilson,Turkey,2023-09-23,41,65,5965.04,91.76984615384616,6787.79,0.4461538461538462,2183.99,1722.76,65,822.75,2,Regular Players
30,Valerie Randall,Chile,2025-03-12,19,56,5469.32,97.66642857142855,8128.45,0.4642857142857143,2417.51,1883.3,56,2659.13,2,Regular Players
31,Andrew Howard,Venezuela,2023-08-15,63,44,4271.14,97.07136363636364,6104.29,0.5454545454545454,3486.88,2022.64,44,1833.1499999999996,0,Casual Players
32,Dawn Johnson,Kazakhstan,2025-12-28,27,47,4633.47,98.5844680851064,9017.47,0.574468085106383,3981.86,3657.33,47,4383.999999999999,1,VIP Players
33,Jamie Johnson,Puerto Rico,2024-08-09,26,59,6188.59,104.8913559322034,8349.92,0.4406779661016949,3124.11,3851.53,59,2161.33,2,Regular Players
34,Todd Baker,Australia,2025-06-29,49,43,5353.33,124.49604651162792,8759.56,0.5348837209302325,1031.95,2724.6800000000003,43,3406.2299999999996,1,VIP Players
